CAQ scores,Sub.,Origenality,Fluency,"-54.44,12","-52,10,-16","-4,-52,-12","-4,54,36","-56,48,16","-52,16,-14","-44,18,62","0,-56,-6","2,-40,-6","-30,-40,46","50,10,-12"
1,34,0.292,1.57,-1.954933,-0.323456,-1.027708,-0.344282,-1.875784,-0.563761,-0.958885,-0.62912,-1.067506,-1.294014,-0.365753
2,13,0.12,1.76,-2.080684,-1.285603,-1.779903,-2.283396,-2.59015,-1.714627,-1.458871,-3.055329,-2.05603,-0.380341,-0.79113
3,21,0.361,2.82,1.153883,-0.385774,-0.260798,-1.067833,-0.146981,-0.773467,-0.865345,-0.181976,-0.571197,-0.355025,-0.677167
3,38,0.158,1.76,0.472466,-0.76321,1.013723,-1.399806,0.208588,-0.827829,-0.554912,1.061465,1.35056,0.34315,0.183982
4,7,0.468,3.46,-1.110174,-0.797078,-1.120083,-1.20575,-1.298596,-0.713161,-0.240852,-1.406044,-1.99448,-0.753874,-0.204629
4,14,0.155,2.17,-0.15135,0.428936,-0.083028,-0.382659,-0.183201,0.138873,-0.548828,-0.558886,-0.538495,0.279084,0.373084
4,22,0.182,1.98,-0.842135,0.210212,-0.968616,-1.737097,-1.121317,0.605156,-0.313742,-1.006586,-0.349124,0.068369,-0.955049
4,37,0.445,2.98,-0.11358,0.169036,-0.454719,-0.435569,-0.274112,0.301708,0.169481,-0.175915,-0.297073,0.027493,0.171804
5,10,0.335,3.02,0.509996,-0.39626,0.423305,0.292906,0.321492,-0.221459,-0.05576,0.914484,-0.143959,0.110383,0.062825
5,36,0.413,2.88,-0.800062,-1.045777,-0.77606,-1.029543,-1.075682,-1.210257,-1.307845,-1.115964,-0.32781,-1.822276,-0.438092
5,39,0.418,3.69,-0.374637,-0.10925,-0.719825,-0.723853,-0.426785,-0.227004,-0.292677,-0.766449,-0.314557,0.217115,0.011636
6,3,0.254,2.85,-2.918001,-1.150086,-0.799568,-2.147582,-4.078357,-2.272725,-1.155709,-1.255673,-1.188469,-1.324941,-0.086889
6,8,0.245,3.32,-1.796249,-0.661928,-0.466209,-0.847359,-1.933005,-0.462728,-0.85291,-0.953956,0.415525,-0.678173,-1.643919
6,18,0.411,3.6,-1.613567,-1.238939,-1.013072,-2.989888,-1.675828,-0.84347,-1.380233,-3.504395,-1.63136,-0.783939,-0.825759
6,33,0.45,4.34,0.070388,-0.251411,-0.220454,-0.895824,0.44317,-0.288871,0.45056,-0.218792,-1.248227,0.031231,0.175773
6,42,0.539,6.25,-0.731156,-0.730462,-1.137478,-0.960835,-0.402836,-0.606582,-0.821096,-1.836831,-1.564365,-1.282088,-0.389015
6,44,0.322,2.91,-0.610691,-0.764217,-1.128872,-1.602451,-0.134808,-0.545823,-2.594711,-1.004375,-0.354682,-0.476504,-0.685148
7,30,0.44,5.6,-1.182567,-0.65958,-1.399718,-1.812223,-1.913872,-1.538619,-0.290862,-1.88346,-1.539295,-0.239585,-0.304839
8,23,0.363,3.64,-1.666527,-1.851504,-1.616032,-1.551802,-2.065758,-2.030406,-1.17097,-1.811681,-1.684623,-1.549612,-1.675187
8,31,0.363,3.89,-0.883662,-0.501112,0.802605,-2.049606,-0.415724,-0.74487,-0.65123,-0.719357,-1.57697,-0.640438,-0.884484
9,5,0.241,2.53,-0.989155,-2.333107,-1.286988,-1.479155,-0.069555,-1.776703,-1.168873,-0.833573,-1.3264,1.271975,-1.841736
9,11,0.317,3.32,-0.701723,-0.770141,-1.529743,-1.956162,-1.057779,-0.856569,-1.641702,-2.549448,-1.561277,-0.482146,0.10646
9,12,0.212,2.17,-0.462388,-0.592847,-0.33277,0.087062,-0.241568,-0.258741,-0.061785,0.160266,-0.448444,-0.22319,0.180121
9,32,0.504,3.19,-0.518802,-0.195908,-1.439984,-0.160575,-0.598978,0.427835,1.527611,-0.823487,-1.653003,0.068993,0.261277
10,4,0.229,2.33,-2.024685,-1.658928,-1.296782,-2.596356,-1.558576,-0.503638,-1.402939,-1.495504,-1.916282,-2.707188,0.102918
10,19,0.381,2.48,-0.715395,0.329639,-1.395803,-0.390144,-0.676786,0.119192,0.021649,-0.550399,0.103092,0.400643,0.200281
10,24,0.341,2.98,0.064973,-1.06135,0.304717,0.782476,0.397416,-0.741575,-0.653277,0.105172,0.451609,1.017295,-0.319116
10,28,0.237,2.73,-0.232128,-0.883421,0.220433,-0.147024,-0.644508,-0.199777,1.035449,1.660982,1.814821,0.143811,-0.034071
11,25,0.338,2.48,-0.250607,-0.933232,-0.538465,-0.834124,-0.338441,-0.75376,-1.024241,-0.539646,0.214508,-0.343639,-0.190524
12,29,0.252,2.99,-1.700538,-1.025408,-0.940199,-2.226328,-1.434186,-1.72069,-0.421832,0.558426,0.597661,-0.777238,0.190749
13,40,0.213,2.67,-1.746707,-1.267252,-0.476128,-1.23625,-1.34289,-1.328373,-0.780453,-0.42584,-0.513984,-0.522537,-0.403568
14,16,0.23,2.59,-0.376343,-0.560609,0.202242,-0.617329,-0.601887,0.432967,0.451028,1.942837,0.145627,-0.020254,0.3051
16,41,0.532,4.42,-0.339137,-0.366362,0.004459,-0.251071,-0.269099,-0.429368,0.171039,-0.062036,-0.369648,0.743304,-0.143896
17,9,0.249,2.59,-0.471137,0.172857,-1.168084,-0.563482,-0.763045,0.019767,-0.174797,-1.889635,-0.697517,-0.12071,-0.42953
17,15,0.236,2.34,-1.605924,-1.127074,-2.894028,-1.620194,-1.016242,-0.393879,-0.504501,-3.351301,-1.753664,-0.975123,-0.22922
18,20,0.277,2.7,0.04197,-0.006208,0.208633,-0.752608,-0.19048,1.071546,-0.487707,0.969514,0.328559,-0.116448,0.590368
18,27,0.261,2.65,0.01497,-0.289143,-0.198059,0.398852,-0.217916,-0.086833,0.02634,-0.835161,0.547855,0.859529,-0.146369
26,26,0.312,3.12,-1.208224,-0.21992,-0.868941,-1.048263,-1.122509,-0.721728,0.406333,-1.231425,-0.939793,-0.452831,-0.379492
31,6,0.452,5.1,-1.141729,-0.062815,-1.258983,-1.80933,-1.740725,-0.521165,-0.35948,-0.662007,-1.456501,-0.512503,0.403964
62,35,0.572,4.1,-1.25319,0.201731,-0.780029,-1.156391,-1.142012,-0.005642,-0.94402,-1.629269,-0.683908,-0.203838,-0.217749
