time,latitude,longitude,depth,mag
1900-07-29T06:59:00.000Z,-10,165,0,7.6
1900-10-09T12:28:00.000Z,60,-142,0,7.7
1900-10-29T09:11:00.000Z,11,-66,0,7.7
1901-08-09T13:01:00.000Z,-22,170,0,7.9
1901-08-09T18:33:00.000Z,40,144,0,7.5
1902-04-19T02:23:00.000Z,14,-91,0,7.5
1902-08-22T03:00:00.000Z,40,77,0,7.7
1902-09-22T01:46:00.000Z,18,146,0,7.5
1902-09-23T20:18:00.000Z,16,-93,0,7.8
1903-01-14T01:47:00.000Z,15,-98,0,7.7
1904-06-25T21:00:37.000Z,52.864,160.445,30,7.7
1905-04-04T00:49:59.000Z,32.636,76.788,20,7.9
1905-07-09T09:40:39.000Z,49.709,98.483,15,8.3
1905-07-23T02:46:22.000Z,49.369,96.61,15,8.3
1905-09-08T01:43:02.000Z,38.636,15.784,15,7.2
1906-01-21T13:49:33.000Z,34.167,138.101,300,7.4
1906-04-18T13:12:27.000Z,38.056,-122.403,10,7.7
1906-08-17T00:11:10.000Z,51.853,178.18,110,8.3
1906-12-22T18:21:11.000Z,44.284,85.572,15,7.8
1907-01-04T05:19:11.000Z,1.873,94.209,15,7.8
1907-04-15T06:08:25.000Z,16.513,-97.304,30,7.8
1907-10-21T04:23:43.000Z,39.179,70.585,20,7.4
1908-12-12T12:54:57.000Z,26.948,96.773,15,7
1908-12-28T04:20:26.000Z,38,15.349,15,7
1909-03-13T14:29:00.000Z,35.407,142.29,15,7.1
1909-07-07T21:37:47.000Z,35.387,70.251,200,7.7
1909-07-30T10:51:51.000Z,16.471,-99.427,20,7.5
1909-10-20T23:41:22.000Z,28.074,69.333,35,7
1910-04-12T00:22:24.000Z,25.911,123.973,235,8.1
1910-06-16T06:30:43.000Z,-19.572,169.438,100,7.8
1910-11-09T06:02:00.000Z,-16.289,166.904,20,7.3
1910-12-16T14:44:55.000Z,4.685,126.051,15,7.6
1911-01-03T23:25:48.000Z,43.013,78.53,20,7.7
1911-02-18T18:41:09.000Z,38.331,72.628,15,7.3
1911-06-07T11:02:50.000Z,18.517,-102.442,30,7.6
1911-06-15T14:25:53.000Z,29.049,128.778,100,7.9
1911-07-12T04:07:38.000Z,8.546,127.103,15,7.7
1911-08-16T22:41:17.000Z,7.237,136.944,15,7.8
1911-12-16T19:14:32.000Z,17.159,-99.994,30,7.3
1912-08-09T01:29:03.000Z,40.638,27.023,15,7.1
1912-09-29T20:51:23.000Z,7.299,136.888,15,7.5
1913-03-14T08:45:04.000Z,5.354,126.121,15,7.8
1913-05-30T11:47:11.000Z,-4.685,151.767,15,7.2
1913-06-26T04:57:19.000Z,-20.53,-173.854,25,7.7
1913-08-06T22:14:37.000Z,-16.469,-73.823,25,7.7
1914-05-26T14:22:47.000Z,-1.829,136.943,15,8.1
1914-06-25T19:07:25.000Z,-3.924,101.82,35,7.6
1914-08-04T22:41:39.000Z,42.747,92.09,15,7.3
1914-10-03T22:07:07.000Z,37.629,30.021,15,7
1914-10-23T06:18:44.000Z,4.239,128.141,35,7.4
1915-02-28T18:59:12.000Z,23.359,123.492,20,7.3
1915-05-01T05:00:10.000Z,48.361,155.162,30,7.8
1915-07-31T01:31:32.000Z,54.121,162.052,20,7.3
1916-01-01T13:20:49.000Z,-4.739,152.548,35,7.9
1916-01-13T06:18:35.000Z,-3.196,135.731,25,7.1
1916-01-13T08:20:32.000Z,-3.987,138.011,35,7.7
1916-01-24T06:55:13.000Z,40.074,37.329,15,7
1916-02-06T21:51:33.000Z,50.459,179.051,15,7
1916-08-28T06:39:41.000Z,29.73,80.745,20,7
1916-10-31T15:31:00.000Z,49.755,157.998,15,7.3
1917-05-01T18:26:20.000Z,-31.08,-176.461,15,8.2
1917-05-31T08:47:32.000Z,54.934,-159.433,35,7.4
1917-06-26T05:49:46.000Z,-14.739,-173.562,15,8
1917-07-29T21:52:32.000Z,-3.687,141.572,35,7.4
1918-02-13T06:07:18.000Z,23.582,117.104,15,7.3
1918-05-20T14:36:07.000Z,7.506,-34.933,15,7.3
1918-05-20T18:03:40.000Z,-2.268,153.171,15,7
1918-07-03T06:52:08.000Z,-3.211,143.404,15,7.5
1918-07-08T10:22:08.000Z,24.599,90.853,15,7.2
1918-08-15T12:18:21.000Z,5.967,124.377,20,8.3
1918-09-07T17:16:23.000Z,46.737,150.653,15,8.1
1918-10-11T14:14:42.000Z,18.802,-67.219,15,7.1
1918-10-27T17:06:40.000Z,-1.402,149.683,15,7.2
1918-11-08T04:38:09.000Z,44.893,151.896,15,7.8
1918-12-02T09:47:34.000Z,11.391,-43.549,10,7.1
1918-12-04T11:47:50.000Z,-26.538,-70.608,40,7.8
1919-01-01T03:00:34.000Z,-19.307,-178.106,485,7.8
1919-03-02T03:26:35.000Z,-43.8,-78.319,15,7.2
1919-03-02T11:45:15.000Z,-43.109,-71.695,15,7.2
1919-04-17T11:22:09.000Z,-30.418,-178.11,35,7.2
1919-04-30T07:17:17.000Z,-18.352,-172.515,25,8.1
1919-05-06T19:41:14.000Z,-4.852,153.714,35,7.8
1919-07-08T21:06:14.000Z,-8.174,31.566,15,7.2
1920-02-02T11:22:24.000Z,-4.967,152.017,35,7.8
1920-03-20T18:31:25.000Z,-35.848,-110.726,10,7
1920-05-13T01:48:44.000Z,-3.65,144,25,7
1920-06-05T04:21:35.000Z,23.684,121.986,20,8.2
1920-09-20T14:39:03.000Z,-20.088,168.523,25,8.1
1920-12-10T04:26:07.000Z,-37.723,-70.256,15,7.3
1920-12-16T12:05:55.000Z,36.888,105.606,15,8.3
1921-02-04T08:22:41.000Z,15.681,-90.805,15,7
1921-02-27T18:23:37.000Z,-18.887,-173.042,15,7.4
1921-03-28T07:49:30.000Z,13.635,-87.09,15,7.3
1921-04-02T09:36:53.000Z,23.801,124.829,15,7
1921-09-11T04:01:44.000Z,-10.08,110.623,15,7.6
1921-10-15T04:58:19.000Z,-12.745,166.868,35,7.1
1921-11-11T18:36:20.000Z,7.563,127.339,15,7.4
1921-11-15T20:36:43.000Z,36.202,70.711,240,7.8
1921-12-18T15:29:28.000Z,-3.827,-71.322,540,7.3
1922-01-17T03:50:28.000Z,-3.025,-71.398,475,7.9
1922-01-31T13:17:31.000Z,41.115,-125.54,15,7.3
1922-05-09T13:50:30.000Z,-9.272,118.683,35,7
1922-09-01T19:16:07.000Z,24.33,121.842,20,7.1
1922-10-14T23:46:52.000Z,24.613,121.325,15,7
1922-11-07T23:00:17.000Z,-28.365,-71.96,25,7
1922-11-11T04:32:51.000Z,-28.293,-69.852,70,8.3
1923-02-02T05:07:48.000Z,53.633,160.692,35,7.2
1923-02-03T16:01:50.000Z,54.486,160.472,15,8.4
1923-02-24T07:34:44.000Z,55.388,163.265,15,7.3
1923-03-02T16:48:34.000Z,7.619,124.857,15,7
1923-03-24T12:40:17.000Z,31.295,100.75,15,7
1923-05-04T16:26:48.000Z,55.828,-156.832,25,7
1923-06-22T06:44:40.000Z,22.845,98.711,25,7.2
1923-09-01T02:58:00.000Z,35.4,139.2,15,8.1
1923-09-01T02:58:35.000Z,35.413,139.298,15,8.1
1923-09-02T02:46:41.000Z,35.007,139.926,15,7.8
1923-10-07T03:29:38.000Z,-1.231,129.55,15,7.4
1923-11-04T00:04:35.000Z,-4.619,153.001,35,7
1924-03-04T10:07:53.000Z,9.791,-83.915,15,7.1
1924-04-14T16:20:36.000Z,6.722,126.038,15,8
1924-05-04T16:51:50.000Z,-21.246,-178.755,535,7.1
1924-06-26T01:37:33.000Z,-56.198,158.563,10,7.5
1924-07-03T04:40:12.000Z,36.983,84.164,10,7
1924-07-24T04:55:19.000Z,-49.522,158.911,15,7.1
1924-08-14T18:02:41.000Z,36.135,141.387,15,7
1924-08-30T03:04:59.000Z,8.963,126.893,15,7.1
